title,price,availability,rating,title_length,availability_binary,price_category,series_book
A Light in the Attic,51.77,In stock,3,20,1,high,0
Tipping the Velvet,53.74,In stock,1,18,1,high,0
Soumission,50.1,In stock,1,10,1,high,0
Sharp Objects,47.82,In stock,4,13,1,high,0
Sapiens: A Brief History of Humankind,54.23,In stock,5,37,1,high,0
The Requiem Red,22.65,In stock,1,15,1,midium,0
The Dirty Little Secrets of Getting Your Dream Job,33.34,In stock,4,50,1,midium,0
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",17.93,In stock,3,87,1,low,0
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,22.6,In stock,4,94,1,midium,0
The Black Maria,52.15,In stock,1,15,1,high,0
"Starving Hearts (Triangular Trade Trilogy, #1)",13.99,In stock,2,46,1,low,1
Shakespeare's Sonnets,20.66,In stock,4,21,1,midium,0
Set Me Free,17.46,In stock,5,11,1,low,0
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,In stock,5,55,1,high,1
Rip it Up and Start Again,35.02,In stock,5,25,1,midium,0
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",57.25,In stock,3,82,1,high,0
Olio,23.88,In stock,1,4,1,midium,0
Mesaerion: The Best Science Fiction Stories 1800-1849,37.59,In stock,1,53,1,midium,0
Libertarianism for Beginners,51.33,In stock,2,28,1,high,0
It's Only the Himalayas,45.17,In stock,2,23,1,high,0
In Her Wake,12.84,In stock,1,11,1,low,0
How Music Works,37.32,In stock,2,15,1,midium,0
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",30.52,In stock,3,175,1,midium,0
Chase Me (Paris Nights #2),25.27,In stock,5,26,1,midium,1
Black Dust,34.53,In stock,5,10,1,midium,0
Birdsong: A Story in Pictures,54.64,In stock,3,29,1,high,0
America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,22.5,In stock,3,107,1,midium,0
Aladdin and His Wonderful Lamp,53.13,In stock,3,30,1,high,0
Worlds Elsewhere: Journeys Around Shakespeareâs Globe,40.3,In stock,5,55,1,high,0
Wall and Piece,44.18,In stock,4,14,1,high,0
The Four Agreements: A Practical Guide to Personal Freedom,17.66,In stock,5,58,1,low,0
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,31.05,In stock,3,73,1,midium,0
The Elephant Tree,23.82,In stock,5,17,1,midium,0
The Bear and the Piano,36.89,In stock,1,22,1,midium,0
Sophie's World,15.94,In stock,5,14,1,low,0
Penny Maybe,33.29,In stock,3,11,1,midium,0
